tiempo_moodle,accesos,participacion_foros,porcentaje_tareas,nota_final
561,70,6,72,6.1
550,39,22,80,4.7
301,52,2,58,5.3
141,36,7,82,3.9
514,56,4,38,4.7
544,26,19,72,6.6
146,10,8,39,3.3
100,43,10,37,5.6
588,87,6,48,3.7
146,19,6,56,6.1
553,40,13,44,4.1
515,43,12,40,6.4
406,57,10,80,5.9
529,86,9,44,5.4
584,39,22,83,6.4
297,58,11,68,5.1
411,34,1,33,4.3
174,72,12,93,6.8
307,29,21,52,5.0
585,61,15,44,6.3
416,70,23,85,6.6
376,16,20,52,5.3
396,64,15,98,5.3
174,67,3,37,3.5
291,28,6,57,6.5
299,12,4,49,4.1
254,53,8,75,6.6
178,43,12,92,4.3
152,57,18,58,6.0
591,33,19,70,6.4
385,73,16,77,6.9
587,63,16,94,6.1
197,80,3,97,6.8
136,32,19,43,3.6
373,37,13,59,4.9
524,47,0,91,4.8
491,46,3,70,6.2
207,56,23,32,5.6
234,79,14,77,5.3
350,29,4,40,6.2
312,65,12,86,5.1
513,58,10,78,5.8
113,54,14,91,5.9
172,43,21,85,5.0
372,65,24,55,6.7
529,80,23,52,6.0
143,34,21,47,4.0
411,34,9,89,4.0
383,40,19,87,3.6
188,63,18,34,6.8
269,43,19,30,6.3
220,54,3,98,6.7
166,42,12,42,4.4
127,60,16,56,5.7
241,58,13,34,4.1
213,55,11,76,5.4
253,25,16,64,6.4
322,45,2,84,5.1
170,16,19,34,4.2
399,59,14,77,3.9
589,24,13,81,6.2
566,66,9,35,5.4
442,62,20,66,4.4
407,19,0,77,4.8
590,75,20,40,5.5
475,50,15,36,5.8
238,62,7,63,6.9
257,26,24,62,5.0
275,79,4,95,3.9
559,84,23,39,5.0
582,19,13,63,4.6
522,65,12,66,3.8
273,42,18,33,4.0
178,79,21,78,5.9
476,12,5,90,3.9
514,17,11,36,6.4
366,77,16,99,6.1
468,72,1,63,5.0
320,28,22,72,3.1
180,19,4,74,6.3
131,10,14,57,4.0
191,57,15,49,6.3
277,33,24,89,6.9
